Datum,20-39,40-59,60-79
01.03.20,30,15,7
08.03.20,101,159,79
15.03.20,622,846,539
22.03.20,1669,2484,1568
29.03.20,1704,2707,1806
05.04.20,1479,2222,1213
12.04.20,960,1194,692
19.04.20,560,551,270
26.04.20,373,375,175
03.05.20,230,224,93
10.05.20,126,130,58
17.05.20,59,77,42
24.05.20,47,49,26
31.05.20,44,45,10
07.06.20,33,20,18
14.06.20,26,43,20
21.06.20,81,42,25
28.06.20,174,112,28
05.07.20,346,188,74
12.07.20,272,189,104
19.07.20,314,217,97
26.07.20,393,223,110
02.08.20,546,329,136
09.08.20,532,301,98
16.08.20,871,357,120
23.08.20,1050,399,128
30.08.20,1085,520,145
06.09.20,1241,678,193
13.09.20,1286,838,303
20.09.20,1258,902,329
27.09.20,933,743,266
04.10.20,1518,1061,459
11.10.20,3679,2780,1190
18.10.20,7535,6391,2979
25.10.20,14964,13154,6314
01.11.20,19892,18560,8934
08.11.20,17547,17248,8212
15.11.20,12981,13046,6373
22.11.20,9933,9797,4800
29.11.20,8673,8229,4129
06.12.20,8849,8735,4262
13.12.20,9379,9592,5014
20.12.20,9111,9579,4926
27.12.20,7653,7895,4324
03.01.21,7824,7704,3980
10.01.21,7592,6916,3410
17.01.21,5136,4775,2257
24.01.21,4397,4226,1921
31.01.21,3551,3683,1622
07.02.21,3133,3125,1293
14.02.21,2597,2488,1036
21.02.21,2283,2256,993
28.02.21,2410,2324,1028
07.03.21,2524,2543,1062
14.03.21,2879,2781,1145
21.03.21,3511,3385,1249
28.03.21,4334,3987,1451
04.04.21,4286,3955,1446
11.04.21,5196,4678,1604
18.04.21,4989,4715,1558
25.04.21,4936,4892,1634
02.05.21,4096,3958,1212
09.05.21,3422,3432,958
16.05.21,2667,2507,690
23.05.21,2539,2231,575
30.05.21,1796,1591,383